Iteration,Current_Obj,Best_Obj,Gap
1,3906.1,3906.1,0.0
2,1027.315,1027.315,0.0
3,380.075,380.075,0.0
4,698.362,380.075,45.576219782863326
5,345.606,345.606,0.0
6,331.925,331.925,0.0
7,386.003,331.925,14.009735675629459
8,1242.489,331.925,73.28547777887773
9,362.552,331.925,8.447615790286637
10,360.592,331.925,7.949982251408787
11,1273.972,331.925,73.9456597162261
12,1381.169,331.925,75.96782146138526
13,378.394,331.925,12.280585844384422
14,1339.7,331.925,75.22393073076063
15,354.48900000000003,331.925,6.365218666869782
16,329.872,329.872,0.0
17,1495.45,329.872,77.94162292286603
18,310.339,310.339,0.0
19,310.339,310.339,0.0
20,302.231,302.231,0.0
21,1450.362,302.231,79.16168515170695
22,640.902,302.231,52.84286833244397
23,606.4350000000001,302.231,50.16267200936622
24,1801.03,302.231,83.2189913549469
25,1337.903,302.231,77.4100962476353
26,1150.03,302.231,73.7197290505465
27,1259.655,302.231,76.00684314355914
28,472.51800000000003,302.231,36.03820383562108
29,498.487,302.231,39.370334632598244
30,483.103,302.231,37.43963502607105
31,1089.451,302.231,72.25841272347266
32,1114.069,302.231,72.87142896894177
33,1811.185,302.231,83.31307955841065
34,1374.013,302.231,78.00377434565758
35,1486.791,302.231,79.67226059345262
36,957.539,302.231,68.4366903071311
37,870.851,302.231,65.29475191508077
38,1743.577,302.231,82.66603654441415
39,845.893,302.231,64.27077656393894
40,845.893,302.231,64.27077656393894
41,839.3720000000001,302.231,63.99319967785439
42,1488.371,302.231,79.69383977516358
43,732.628,302.231,58.74700393651349
44,1221.41,302.231,75.2555652892968
45,1511.1960000000001,302.231,80.00054261657654
46,1724.332,302.231,82.47257488697073
47,1592.122,302.231,81.01709542359191
48,1385.132,302.231,78.18034671063842
49,1385.132,302.231,78.18034671063842
50,2200.166,302.231,86.26326377191539
51,707.908,302.231,57.306457901309216
52,1162.397,302.231,73.99933069338617
53,1418.549,302.231,78.6943559933425
54,1443.476,302.231,79.06227744694057
55,1984.511,302.231,84.77050517734595
56,1143.536,302.231,73.57048663094122
57,836.628,302.231,63.87510339123242
58,413.123,302.231,26.842368979698538
59,394.68,302.231,23.42378635856897
60,523.64,302.231,42.282675120311666
61,1520.233,302.231,80.11942906120312
62,1244.874,302.231,75.72196061609449
63,1257.069,302.231,75.95748522952996
64,322.969,302.231,6.421049698268256
65,656.564,302.231,53.967777703316045
66,1433.969,302.231,78.9234634779413
67,1421.203,302.231,78.73414283533035
68,357.318,302.231,15.416799601475434
69,1422.459,302.231,78.75292011931451
70,1393.565,302.231,78.31238585928895
71,1520.231,302.231,80.11940290653197
72,1659.201,302.231,81.78454569398163
73,1500.361,302.231,79.85611462841277
74,1395.448,302.231,78.34165085334602
75,858.744,302.231,64.80546006726102
76,1814.086,302.231,83.3397644874609
77,830.171,302.231,63.59412699311346
78,843.047,302.231,64.15016007411212
79,1347.935,302.231,77.57822150177864
80,1770.403,302.231,82.92868911767548
81,1764.434,302.231,82.87093764912714
82,406.386,302.231,25.629573853429992
83,399.653,302.231,24.376646741047864
